id,matched_ids,merged_skills
11,"[3.0, 33.0, 46.0, 17.0, 28.0, 48.0, 22.0, 30.0, 36.0, 50.0]","{'component', 'monitoring', 'openshift', 'specification', 'business', 'medium', 'design', 'network security', 'server', 'nosql', 'azure', 'kafka', 'debugging', 'business intelligence', 'project management', 'diagram', 'data warehouse', 'testing', 'hadoop', 'schedule', 'deployment', 'groovy', 'analytics', 'ruby', 'perl', 'database', 'microsoft azure', 'framework', 'software', 'operating system', 'gitlab', 'github', 'web service', 'correctness', 'cloud foundry', 'kubernetes', 'application server', 'authentication', 'ansible', 'linux', 'high availability', 'angular', 'certificate', 'relational database', 'support', 'scala', 'middleware', 'computer science', 'python', 'chef', 'openstack', 'mobile', 'docker', 'google', 'engineering', 'scalability', 'network architecture', 'workload', 'data integration', 'shell', 'react', 'java', 'cloud storage', 'interaction', 'google app engine', 'release', 'documentation', 'devops', 'data center', 'security', 'collaboration'}"
12,"[473.0, 61.0, 343.0, 199.0, 200.0, 220.0, 39.0, 257.0, 253.0, 275.0]","{'component', 'collaboration', 'data analysis', 'business', 'machine learning', 'medium', 'design', 'durability', 'javascript', 'ethernet', 'business intelligence', 'data model', 'project management', 'testing', 'process management', 'deployment', 'analytics', 'database', 'data system', 'operating system', 'software', 'visual studio', 'database design', 'source code', 'authentication', 'data modeling', 'linux', 'support', 'exploratory data analysis', 'help desk', 'marketing', 'swift', 'user interface', 'computer science', 'comprehension', 'python', 'business process', 'simulation', 'mobile', 'objective c', 'oracle', 'eclipse', 'engineering', 'material', 'continuous integration', 'complex system', 'big data', 'artificial intelligence', 'java', 'data center', 'release', 'interaction', 'documentation', 'web service', 'security', 'programming language'}"
13,"[50.0, 25.0, 429.0, 106.0, 481.0, 26.0, 492.0, 497.0, 455.0, 85.0]","{'component', 'asp net', 'ajax', 'continuous deployment', 'selenium', 'junit', 'design', 'server', 'javascript', 'nosql', 'ethernet', 'devops', 'testing', 'hadoop', 'deployment', 'groovy', 'perl', 'database', 'software', 'application server', 'framework', 'linux', 'angular', 'high availability', 'relational database', 'support', 'computer engineering', 'computer science', 'library', 'python', 'openstack', 'jquery', 'oracle', 'engineering', 'mysql', 'continuous integration', 'shell', 'data center', 'java', 'automaton', 'web service', 'web server', 'scripting language'}"
14,"[18.0, 413.0, 3.0, 50.0, 410.0, 404.0, 486.0, 6.0, 36.0, 13.0]","{'component', 'business', 'apache tomcat', 'data visualization', 'javascript', 'nosql', 'reliability engineering', 'project management', 'schedule', 'groovy', 'analytics', 'ansible', 'elasticsearch', 'play', 'computer science', 'python', 'chef', 'mobile', 'scalability', 'engineering', 'bash', 'network management', 'apigee', 'redis', 'server', 'akka', 'rabbitmq', 'database', 'cassandra', 'correctness', 'relational database', 'database security', 'oracle', 'mongodb', 'docker', 'devops', 'web service', 'network security', 'azure', 'diagram', 'ruby', 'perl', 'software', 'application server', 'framework', 'riak', 'cloud foundry', 'activemq', 'high availability', 'twitter', 'spring', 'support', 'rotation', 'scala', 'library', 'openstack', 'mysql', 'react', 'java', 'mariadb', 'security', 'scripting language', 'monitoring', 'design', 'logstash', 'memcached', 'hadoop', 'deployment', 'kubernetes', 'front end', 'linux', 'publishing', 'google', 'datadog', 'big data', 'shell', 'data center', 'release', 'postgresql', 'programming language', 'angularjs'}"
15,"[7.0, 502.0, 156.0, 46.0, 57.0, 19.0, 37.0, 411.0, 398.0, 167.0]","{'monitoring', 'algorithm', 'specification', 'business', 'programming language', 'system testing', 'machine learning', 'design', 'server', 'data science', 'azure', 'network topology', 'business intelligence', 'distributed database', 'data warehouse', 'project management', 'diagram', 'testing', 'hadoop', 'schedule', 'code review', 'deployment', 'source document', 'analytics', 'data mining', 'data structure', 'database', 'text mining', 'operating system', 'router', 'framework', 'microsoft azure', 'software', 'centos', 'natural language processing', 'linux', 'inference', 'virtual machine', 'graphite', 'system integration', 'support', 'computer engineering', 'computer science', 'library', 'python', 'chef', 'oracle', 'docker', 'google', 'engineering', 'visualization', 'kibana', 'network architecture', 'mysql', 'big data', 'java', 'cloud storage', 'security', 'data center', 'release', 'documentation', 'information management', 'postgresql', 'web service', 'collaboration'}"
16,"[52.0, 238.0, 51.0, 239.0, 46.0, 173.0, 240.0, 50.0, 41.0, 236.0]","{'monitoring', 'collaboration', 'algorithm', 'aws elastic beanstalk', 'business', 'data analysis', 'specification', 'ajax', 'machine learning', 'design', 'server', 'javascript', 'devops', 'devise', 'business administration', 'bootstrap', 'project management', 'diagram', 'testing', 'deployment', 'data mining', 'groovy', 'analytics', 'ruby', 'perl', 'database', 'microsoft azure', 'software', 'application server', 'github', 'git', 'ansible', 'authentication', 'workflow', 'linux', 'play', 'graphite', 'nlp', 'support', 'rocket', 'marketing', 'coreos', 'user interface', 'computer science', 'ubuntu', 'python', 'chef', 'openstack', 'virtualization platform', 'ambiguity', 'cloud monitoring', 'jquery', 'docker', 'google', 'engineering', 'algorithm design', 'continuous integration', 'software engineering', 'shell', 'java', 'cloud storage', 'data center', 'documentation', 'web service', 'web app', 'security', 'programming language', 'beanstalk'}"
17,"[41.0, 48.0, 36.0, 46.0, 33.0, 3.0, 43.0, 21.0, 54.0, 23.0]","{'monitoring', 'component', 'openshift', 'specification', 'business', 'ajax', 'programming language', 'design', 'network security', 'server', 'nosql', 'azure', 'debugging', 'business intelligence', 'diagram', 'testing', 'schedule', 'deployment', 'performance monitoring', 'analytics', 'perl', 'database', 'data system', 'microsoft azure', 'software', 'web service', 'correctness', 'framework', 'authentication', 'enterprise system', 'database design', 'linux', 'play', 'certificate', 'relational database', 'support', 'computer science', 'python', 'chef', 'openstack', 'jquery', 'mobile', 'oracle', 'mongodb', 'google', 'engineering', 'workload', 'complex system', 'software engineering', 'shell', 'java', 'release', 'cloud storage', 'data center', 'devops', 'security', 'collaboration', 'scripting language'}"
18,"[14.0, 41.0, 50.0, 413.0, 3.0, 21.0, 6.0, 28.0, 46.0, 52.0]","{'component', 'business', 'ajax', 'apache tomcat', 'data visualization', 'nosql', 'devise', 'groovy', 'analytics', 'operating system', 'microsoft azure', 'ansible', 'elasticsearch', 'play', 'graphite', 'coreos', 'computer science', 'ubuntu', 'python', 'chef', 'mobile', 'cloud monitoring', 'scalability', 'engineering', 'bash', 'network management', 'apigee', 'server', 'akka', 'rabbitmq', 'database', 'cassandra', 'database design', 'relational database', 'oracle', 'mongodb', 'docker', 'continuous integration', 'google app engine', 'devops', 'web service', 'collaboration', 'openshift', 'azure', 'kafka', 'business intelligence', 'diagram', 'testing', 'ruby', 'perl', 'software', 'application server', 'framework', 'cloud foundry', 'authentication', 'workflow', 'activemq', 'high availability', 'angular', 'spring', 'support', 'rotation', 'scala', 'middleware', 'library', 'openstack', 'mysql', 'react', 'java', 'security', 'scripting language', 'monitoring', 'design', 'logstash', 'memcached', 'hadoop', 'deployment', 'git', 'kubernetes', 'front end', 'linux', 'rocket', 'publishing', 'jquery', 'google', 'big data', 'shell', 'data center', 'cloud storage', 'documentation', 'postgresql', 'programming language', 'angularjs', 'beanstalk'}"
19,"[46.0, 41.0, 33.0, 3.0, 36.0, 39.0, 17.0, 1.0, 147.0, 23.0]","{'monitoring', 'component', 'metadata', 'data transmission', 'data analysis', 'specification', 'business', 'ajax', 'medium', 'design', 'network security', 'server', 'azure', 'business intelligence', 'data model', 'project management', 'diagram', 'data warehouse', 'testing', 'schedule', 'deployment', 'analytics', 'perl', 'database', 'microsoft azure', 'software', 'framework', 'web service', 'correctness', 'cloud foundry', 'linux', 'trend analysis', 'certificate', 'support', 'rotation', 'computer science', 'python', 'data integrity', 'chef', 'jquery', 'mobile', 'google', 'engineering', 'material', 'data management', 'network architecture', 'workload', 'data integration', 'shell', 'java', 'cloud storage', 'release', 'interaction', 'knowledge base', 'documentation', 'devops', 'tableau', 'data center', 'security', 'collaboration'}"
20,"[3.0, 54.0, 32.0, 35.0, 143.0, 46.0, 39.0, 36.0, 41.0, 43.0]","{'component', 'monitoring', 'openshift', 'business', 'mode', 'ajax', 'medium', 'design', 'server', 'network security', 'azure', 'data validation', 'devops', 'project management', 'diagram', 'testing', 'schedule', 'deployment', 'performance monitoring', 'analytics', 'database', 'data system', 'microsoft azure', 'software', 'framework', 'correctness', 'performance metric', 'enterprise system', 'play', 'support', 'computer science', 'chef', 'openstack', 'jquery', 'mobile', 'oracle', 'google', 'engineering', 'workload', 'complex system', 'software engineering', 'shell', 'java', 'cloud storage', 'release', 'web service', 'security', 'collaboration'}"
21,"[23.0, 41.0, 106.0, 45.0, 28.0, 50.0, 51.0, 25.0, 17.0, 18.0]","{'component', 'business', 'ajax', 'medium', 'apache tomcat', 'nosql', 'project management', 'groovy', 'analytics', 'operating system', 'ansible', 'nlp', 'computer science', 'python', 'chef', 'scalability', 'engineering', 'network management', 'specification', 'server', 'bootstrap', 'rabbitmq', 'database', 'cassandra', 'relational database', 'user interface', 'virtualization platform', 'docker', 'oracle', 'mongodb', 'continuous integration', 'google app engine', 'web service', 'devops', 'openshift', 'azure', 'kafka', 'business intelligence', 'diagram', 'testing', 'ruby', 'perl', 'software', 'framework', 'application server', 'riak', 'cloud foundry', 'authentication', 'high availability', 'angular', 'activemq', 'support', 'scala', 'middleware', 'openstack', 'network architecture', 'mysql', 'data integration', 'react', 'java', 'mariadb', 'security', 'monitoring', 'asp net', 'continuous deployment', 'design', 'memcached', 'deployment', 'kubernetes', 'linux', 'certificate', 'jquery', 'google', 'shell', 'data center', 'interaction', 'documentation', 'postgresql'}"
22,"[24.0, 42.0, 8.0, 36.0, 50.0, 33.0, 46.0, 52.0, 3.0, 32.0]","{'monitoring', 'component', 'specification', 'business', 'design', 'server', 'network security', 'javascript', 'finance', 'ethernet', 'azure', 'devise', 'diagram', 'testing', 'schedule', 'deployment', 'groovy', 'analytics', 'ruby', 'perl', 'database', 'cloud access management', 'software', 'gitlab', 'framework', 'github', 'git', 'web service', 'correctness', 'application server', 'microsoft azure', 'front end', 'ansible', 'authentication', 'workflow', 'high availability', 'linux', 'certificate', 'graphite', 'support', 'rocket', 'marketing', 'coreos', 'computer science', 'ubuntu', 'box', 'python', 'chef', 'openstack', 'mobile', 'cloud monitoring', 'oracle', 'docker', 'google', 'engineering', 'workload', 'continuous integration', 'shell', 'data center', 'release', 'cloud storage', 'documentation', 'devops', 'security', 'collaboration', 'beanstalk'}"
23,"[45.0, 21.0, 3.0, 46.0, 54.0, 36.0, 39.0, 41.0, 50.0, 20.0]","{'component', 'monitoring', 'collaboration', 'business', 'ajax', 'medium', 'design', 'server', 'network security', 'nosql', 'azure', 'devops', 'business intelligence', 'diagram', 'schedule', 'deployment', 'performance monitoring', 'groovy', 'analytics', 'perl', 'database', 'microsoft azure', 'software', 'framework', 'correctness', 'application server', 'authentication', 'database design', 'linux', 'certificate', 'relational database', 'support', 'computer science', 'chef', 'openstack', 'jquery', 'oracle', 'mongodb', 'google', 'engineering', 'workload', 'complex system', 'shell', 'data center', 'java', 'cloud storage', 'release', 'web service', 'security', 'programming language', 'scripting language'}"
24,"[22.0, 36.0, 20.0, 32.0, 41.0, 52.0, 33.0, 54.0, 46.0, 39.0]","{'monitoring', 'component', 'specification', 'business', 'ajax', 'medium', 'design', 'network security', 'server', 'azure', 'devise', 'diagram', 'testing', 'schedule', 'deployment', 'performance monitoring', 'analytics', 'ruby', 'perl', 'database', 'microsoft azure', 'gitlab', 'software', 'github', 'correctness', 'git', 'framework', 'ansible', 'workflow', 'high availability', 'linux', 'certificate', 'graphite', 'support', 'rocket', 'coreos', 'computer science', 'ubuntu', 'python', 'chef', 'openstack', 'jquery', 'cloud monitoring', 'oracle', 'docker', 'mobile', 'google', 'engineering', 'workload', 'continuous integration', 'complex system', 'shell', 'java', 'release', 'security', 'cloud storage', 'documentation', 'devops', 'web service', 'collaboration', 'beanstalk'}"
25,"[436.0, 26.0, 429.0, 488.0, 505.0, 62.0, 340.0, 362.0, 60.0, 496.0]","{'asp net', 'ajax', 'design', 'server', 'javascript', 'testing', 'ruby', 'database', 'software', 'front end', 'support', 'back office', 'swift', 'bamboo', 'user interface', 'computer science', 'jquery', 'objective c', 'oracle', 'mongodb', 'jquery mobile', 'mysql', 'shell', 'java', 'web service', 'postgresql', 'code coverage'}"
26,"[25.0, 496.0, 429.0, 423.0, 283.0, 465.0, 435.0, 60.0, 74.0, 93.0]","{'oracle', 'asp net', 'ajax', 'back office', 'support', 'shell', 'server', 'java', 'javascript', 'computer science', 'software', 'web service', 'jquery'}"
27,"[457.0, 480.0, 36.0, 454.0, 318.0, 468.0, 473.0, 32.0, 20.0, 450.0]","{'component', 'domain knowledge', 'monitoring', 'specification', 'business', 'junit', 'design', 'network security', 'server', 'javascript', 'accounting', 'debugging', 'diagram', 'testing', 'schedule', 'search engine', 'database', 'software', 'web service', 'correctness', 'visual studio', 'database design', 'data modeling', 'high availability', 'linux', 'spring', 'support', 'user interface', 'computer science', 'business process', 'jquery', 'mobile', 'oracle', 'eclipse', 'engineering', 'continuous integration', 'complex system', 'content management', 'java', 'release', 'documentation', 'information management', 'security', 'programming language'}"
28,"[488.0, 106.0, 50.0, 468.0, 21.0, 47.0, 52.0, 459.0, 41.0, 396.0]","{'component', 'metadata', 'business', 'ajax', 'medium', 'javascript', 'nosql', 'devise', 'business administration', 'schedule', 'groovy', 'analytics', 'ansible', 'graphite', 'nlp', 'coreos', 'computer science', 'ubuntu', 'python', 'chef', 'mobile', 'cloud monitoring', 'engineering', 'grunt', 'hbase', 'server', 'maven', 'database', 'database design', 'relational database', 'bamboo', 'oracle', 'mongodb', 'docker', 'continuous integration', 'web service', 'devops', 'domain knowledge', 'azure', 'business intelligence', 'diagram', 'testing', 'lucene', 'search engine', 'ruby', 'perl', 'software', 'framework', 'application server', 'authentication', 'enterprise system', 'workflow', 'high availability', 'angular', 'spring', 'support', 'openstack', 'impala', 'data integration', 'software engineering', 'java', 'security', 'scripting language', 'monitoring', 'junit', 'continuous deployment', 'design', 'debugging', 'hadoop', 'deployment', 'git', 'rest api', 'front end', 'linux', 'rocket', 'solr', 'jquery', 'compass', 'big data', 'shell', 'content management', 'data center', 'documentation', 'programming language', 'beanstalk'}"
29,"[472.0, 467.0, 84.0, 13.0, 106.0, 65.0, 50.0, 469.0, 455.0, 40.0]","{'openshift', 'component', 'redis', 'business', 'gradle', 'continuous deployment', 'junit', 'design', 'server', 'javascript', 'nosql', 'maven', 'testing', 'hadoop', 'deployment', 'groovy', 'perl', 'database', 'eureka', 'operating system', 'cassandra', 'framework', 'github', 'git', 'software', 'application server', 'hibernate', 'cloud foundry', 'front end', 'workflow', 'high availability', 'angular', 'linux', 'play', 'spring', 'zookeeper', 'relational database', 'scala', 'bamboo', 'computer science', 'python', 'openstack', 'jquery', 'mobile', 'oracle', 'eclipse', 'google', 'engineering', 'mysql', 'continuous integration', 'big data', 'software engineering', 'shell', 'java', 'data center', 'security', 'unified modeling language', 'devops', 'web service', 'collaboration'}"
30,"[33.0, 46.0, 3.0, 5.0, 31.0, 11.0, 19.0, 54.0, 22.0, 4.0]","{'monitoring', 'component', 'specification', 'business', 'machine learning', 'design', 'network security', 'docker swarm', 'server', 'javascript', 'azure', 'distributed database', 'diagram', 'testing', 'deployment', 'performance monitoring', 'analytics', 'ruby', 'perl', 'database', 'fabric', 'microsoft azure', 'framework', 'web service', 'software', 'gitlab', 'github', 'kubernetes', 'ansible', 'linux', 'high availability', 'angular', 'certificate', 'support', 'marketing', 'computer engineering', 'python', 'chef', 'mobile', 'docker', 'google', 'engineering', 'scalability', 'network architecture', 'workload', 'complex system', 'software engineering', 'data center', 'cloud storage', 'documentation', 'devops', 'security', 'collaboration'}"
31,"[5.0, 3.0, 50.0, 46.0, 33.0, 40.0, 23.0, 43.0, 36.0, 30.0]","{'component', 'monitoring', 'openshift', 'specification', 'business', 'design', 'network security', 'azure', 'devops', 'business intelligence', 'data warehouse', 'diagram', 'testing', 'hadoop', 'schedule', 'deployment', 'groovy', 'analytics', 'perl', 'database', 'data system', 'microsoft azure', 'software', 'application server', 'framework', 'correctness', 'enterprise system', 'linux', 'play', 'certificate', 'support', 'computer science', 'chef', 'openstack', 'mobile', 'google', 'engineering', 'workload', 'data integration', 'software engineering', 'shell', 'data center', 'cloud storage', 'java', 'release', 'interaction', 'web service', 'security', 'collaboration'}"
32,"[20.0, 3.0, 297.0, 46.0, 318.0, 333.0, 36.0, 299.0, 22.0, 54.0]","{'component', 'specification', 'business', 'design', 'network security', 'javascript', 'azure', 'devops', 'data model', 'project management', 'diagram', 'schedule', 'performance monitoring', 'analytics', 'ruby', 'perl', 'database', 'microsoft azure', 'software', 'correctness', 'gitlab', 'github', 'ansible', 'high availability', 'linux', 'relational database', 'support', 'python', 'chef', 'oracle', 'google', 'engineering', 'material', 'workload', 'complex system', 'cloud storage', 'release', 'documentation', 'web service', 'object model', 'security', 'collaboration'}"
33,"[46.0, 3.0, 48.0, 50.0, 36.0, 41.0, 22.0, 17.0, 30.0, 31.0]","{'component', 'monitoring', 'specification', 'business', 'ajax', 'medium', 'design', 'network security', 'server', 'azure', 'devops', 'debugging', 'business intelligence', 'project management', 'diagram', 'data warehouse', 'testing', 'hadoop', 'schedule', 'deployment', 'groovy', 'analytics', 'ruby', 'perl', 'database', 'microsoft azure', 'software', 'application server', 'correctness', 'gitlab', 'github', 'framework', 'cloud foundry', 'authentication', 'ansible', 'linux', 'high availability', 'support', 'computer science', 'python', 'chef', 'openstack', 'jquery', 'google', 'engineering', 'network architecture', 'workload', 'data integration', 'shell', 'data center', 'cloud storage', 'release', 'java', 'interaction', 'documentation', 'web service', 'security', 'collaboration'}"
34,"[201.0, 364.0, 202.0, 456.0, 388.0, 448.0, 104.0, 393.0, 355.0, 358.0]","{'regression analysis', 'concurrency', 'collaboration', 'time series', 'redis', 'algorithm', 'data analysis', 'business', 'medium', 'machine learning', 'design', 'server', 'finance', 'javascript', 'kafka', 'synchronization', 'azure', 'debugging', 'data model', 'memory management', 'advertising', 'hadoop', 'open data', 'deployment', 'data mining', 'code review', 'search engine', 'analytics', 'data structure', 'database', 'data system', 'software', 'framework', 'github', 'elasticsearch', 'database design', 'linux', 'play', 'data modeling', 'support', 'marketing', 'scala', 'swift', 'computer science', 'library', 'python', 'business process', 'graphic design', 'box', 'objective c', 'mobile', 'oracle', 'mongodb', 'engineering', 'electrical engineering', 'data management', 'workload', 'big data', 'continuous integration', 'apache spark', 'unsupervised learning', 'ml', 'throughput', 'java', 'interaction', 'release', 'knowledge base', 'software engineering', 'commerce', 'web service', 'postgresql', 'security', 'programming language'}"
35,"[20.0, 143.0, 54.0, 1.0, 41.0, 43.0, 39.0, 3.0, 147.0, 32.0]","{'component', 'monitoring', 'openshift', 'metadata', 'data transmission', 'data analysis', 'specification', 'business', 'mode', 'ajax', 'medium', 'design', 'server', 'azure', 'data validation', 'business intelligence', 'data model', 'data warehouse', 'diagram', 'testing', 'deployment', 'performance monitoring', 'analytics', 'database', 'data system', 'software', 'web service', 'enterprise system', 'play', 'trend analysis', 'support', 'rotation', 'computer science', 'data integrity', 'chef', 'openstack', 'jquery', 'mobile', 'oracle', 'google', 'engineering', 'material', 'data management', 'workload', 'complex system', 'software engineering', 'shell', 'java', 'knowledge base', 'documentation', 'devops', 'tableau', 'security', 'collaboration'}"
36,"[3.0, 43.0, 33.0, 22.0, 20.0, 17.0, 468.0, 54.0, 23.0, 297.0]","{'component', 'openshift', 'monitoring', 'specification', 'business', 'medium', 'design', 'network security', 'server', 'azure', 'devops', 'business intelligence', 'project management', 'diagram', 'testing', 'performance monitoring', 'analytics', 'ruby', 'search engine', 'perl', 'data system', 'framework', 'gitlab', 'github', 'software', 'cloud foundry', 'ansible', 'enterprise system', 'play', 'high availability', 'linux', 'certificate', 'support', 'computer science', 'python', 'openstack', 'mobile', 'google', 'engineering', 'network architecture', 'workload', 'data integration', 'complex system', 'software engineering', 'shell', 'content management', 'java', 'interaction', 'data center', 'documentation', 'web service', 'security'}"
