id,category,jd
48,cloud engineer,"Cloud ArchitectOur Direct Client is looking for a Cloud Architect to join their team of Engineers in Fremont, CA to spearhead the development and implementation of cloud-based initiatives to ensure that systems are scalable, reliable, secure, supportable, and achieve business and IT performance and budgetary objectives.Responsibilities:o Understand existing product(s) architecture and provide detailed analysis to take them to cloud o Work closely with software development team to make necessary changes to the product to make it Cloud Readyo Work with Implementation team to deploy the product in the cloud by considering different factors like manageability, upgrade, product security, performance, billing and reportingo Become part of core engineering team and suggest design and development changes that is necessary for next generation productso Full lifecycle application development including design, development, debugging and maintenance of cloud applicationso Integrate software with existing systemso Evaluate and identify new technologies for implementationo Maintain standards complianceMinimum Requirements:o B.S. in computer science or engineering; o 10+ years experience in large-scale, multi-platform projects; expert in Shell, VBScript, Perl or Python; o Expert knowledge of Linux and Windows; significant experience designing, installing and administrating virtualized environments.o Experience in design and development of distributed software modules that integrate with cloud service providers.o Need to have experience developing and deploying at least 3 cloud applications with large scale customer base.o Need to have experience in deploying with Microsoft Azure, AWS and/or Dockero Need to have experience with following Security Architecture Assessment and Design Performance assessment and turning Application Architecture Design Compliance Testing Performance Testing Impact Analysis Testing Readiness Assessment o Need to have very good understanding of best practices for Cloud DevelopmentStrongly DESIRED:o Experience with Multi Factor Authentication in the Cloud is pluso Experience working with Azure AD is pluso Experience working with Security Product in the cloud is plusAdditional Requirements:o Strong communication skillso Friendly, flexible and a team playero Innovative thinker and problem solvero Outstanding commitment to customer service and qualityo Independent, proactive and self-driven with a can-do attitudeo Sense of humorEducation:o BS degree in CS, or equivalent combination of education and experience."
49,cloud engineer,"- Responsible for CTL Cloud Architecture and interface with SAP CAA for overall complete architecture, feasibility of a HEC opportunity - Need to completely up todate with HEC Standards, Pricing, architecture and Delivery Process - will Price an opptrtunity and work with SAP CAA to close a HEC opportunity including pricing, CDD and other some presales activity - overall owns an opportunity from inquiry working with SAP CAa to take it to closure wher ehe hands off to CSP and TPM. Wil lstill eb involved for evaluating change orders and providing team guidance on architecture Experience Needed - 12+ in SAP in including 5+ years in lead Technical architect roles involving implementations, upgrade, migrate with a heavy focus on Basis and technical lead Integrator and architect type roles - Sound Knowledge of SAP applications (Transactional, Analytical, DB's) - Implementation experience of SAP applications (ECC, BW, CRM, SRM, EP, PO, BOBJ, etc...) - Hands on experience with full life cycle implementation of 2 or more SAP projects - Experience with 2 or more upgrade & migration projects - Experience with sizing SAP systems - Knowledge of HANA, and interoperability between as many SAP applications, as many as possible - Knowledge of inner workings of SAP ABAP layer, - Knowledge of SAP security, ABAP stack, JAVA stack - Knowledge of SAP new age applications [Fiori, UI5, HANA, ...] - Knowledge of as many SAP acquisitions products [BPC, BOBJ, Ariba, Sybase, SuccessFactor, FieldGlass, Concur, etc...] - Knowledge of SAP history & SAP future road-map awareness - Knowledge of SAP eco-system [SAP marketplace, ServiceMarketplace, SCN, HCP, ...] - Preferable should have presented at SAP conference [ASUG, TechED, SAPHIRE, D-CODE, ...] - Data warehousing background is a must - Cloud experience is a mustNamrata SaraswatTel: (408) 416-3551namrata.saraswat@centurylink.com"
50,cloud engineer,"Interested working for a Data Center company and enhancing your skills on Cloud and Virtualization technology?.Please kindly review the role and if you or anyone is looking for change/available, can you please kindly call ""Archana"" At 408 596 5880. ROLE: Cloud ArchitectLOCATION: Sunnyvale, CADURATION: Initial 6 months contract Qualification:12 to 14+ years of total IT experience.Proficient working with Cloud and Virtualization technology.Hands-on experience in building Cloud management tools.Openstack setups and deployments.Scripting large scale systems.Unix/Linux, Shell Scripting, Perl/Groovy.Setting up and configuring web/application servers.Hybrid Cloud deployment tool IS A PLUS. "
51,cloud engineer,"Technical Skills Prior experience in the architecture and design of scalable web applications on the Node.js platform.Prior experience as an architect and lead for one or more cloud based applications, preferably on AWS.Prior experience in the design and development of multi-tenanted SaaS and PaaS architectures.Preferred experience or knowledge of puppet for deployment and configuration management. If no direct experience, should at least have been involved with applications that were managed by puppet.Prior experience in building Single Sign On and federated authentication and authorization architectures for cloud based applications.Strong software development experience in at least one language - preferably Java.Preferred experience in load balancers.Must possess excellent scripting skills, either shell or python or Ruby.Must have prior experience with or strong familiarity with Continuous Integration tools like Jenkins and best practices.Prior experience in the financial services industry & volume trading a plus.Must possess sound knowledge of the VMWare virtualization platform.Must have firsthand experience in managing the operational pain points of cloud applications.Familiarity with responsive User Interfaces design and tools like Bootstrap is a plus.Familiarity with Splunk and log analytics a plus.Familiarity with NLP, sentiment analytics and web usage analytics a plus.Leadership and other skills Must have excellent written and verbal communication skills.Must bring a positive and friendly attitude to the work place.Must be a thought leader. Should have the ability to work with a team of engineers, be an enabler of creative thinking and collaborative problem solving.Must have excellent presentation skills. Should be able to make technical presentations to stakeholders including product management, pre-sales, operations and customers.Software development management experience will be a plus.Must have experience working in an Agile organization."
52,cloud engineer,"Job Description :The AWS cloud architect is responsible for the following activities: • Develops and maintains documentation of cloud environments, integration platforms, data flow map, server inventories, network design diagram, entity-relationship diagram, process workflows. • Defines/develops roadmaps and plans to migrate current application infrastructure to AWS Cloud and reduce hardware footprints and devises cost-effective ways to support cloud-computing environments. • Lead the design, implementation, testing, documenting of infrastructure technologies with varying degrees of hands-on execution tasks. • Lead system performance benchmarking and establish standards and best practices to support high-performing computing environments. • Familiar with AWS Simple Calculator for estimating costs and factors that impact cost control factors • Minimum 6+ years of good hand-on experience with AWS foundation services related to compute, network, content delivery, administration and security, deployment and management, automation technologies. • Experience with developing, building and operating sophisticated and highly automated Cloud infrastructure (AWS, Docker, Openstack, VMware, or Rackspace) a must. • Prior success in automating a real-world production environment a must. • Familiarity with AWS Cloud Formation, Opswork, Elastic Beanstalk, Code Deploy/, Pipeline/Commit, Openstack Heat, Cloudify or/and DSL such as YAML JSON required. • 5+ year development experience with continuous integration (CI/CD) and automation tools such as GIT/SVN, Jenkins, Chef, Ansible, Puppet • Prior development experience with Linux Container (LXC, Docker or CoreOS Rocket), Virtualization technologies (KVM, XEN) on Linux (Ubuntu or Redhat preferably) • 5+ year hands on experience to build and develop Microservices based and IaaS infrastructure with prior experience in AWS CodeDeploy, Docker Swarm, Kuberentes and Mesos • Experienced in building scalable applications (12-factor, micro-services, immutable production) • Cloud monitoring implementation and strategy (icinga, zabbix, nagios, sense, graphite, splunk, elastic search • Exposure to automated testing tools (BDD, TDD) and Service-Oriented Architecture (SOA, REST) • Strong programming/script skill in Python, Perl, Ruby shell, Node.js and knowledge of OOP design patterns • Familiar with deployment patterns/strategy (blue/green, canary, rolling, draining) • Have R&D experience especially in building R&D tool environment in cloud computing environment is a plus. • BA/BS degree or equivalent experience; Computer Science or Math background preferred. • Strong verbal and written communication skills, with ability to work effectively across organizations. Thanks,MikeGlobal Resource Management, Inc. (GRMI)Main: 404 476 4945.  770 729 9222 (Fax)mike@grmi.net""GRMI- not just a name...A COMMITMENT TO EXCELLENCE"""
53,cloud engineer," iSoftStone North America is looking for a Cloud Architect to join our Team! iSoftStone is seeking a Cloud Architect to join our team! Targeted locations:  Seattle, WA, Atlanta, GA and Dallas TXCandidates can work remotely, but must be within a close distance to offices in WA, GA or TXLong term contract positionRequirements/Qualifications:5-10 years’ solid experience with Cloud technologies (understand networking, computing, storage)  2-5 years’ experience in establishing and writing training material/manuals, documents, screenshots, etc.Candidate MUST have exceptional communication skillsHands on experience with setting up/troubleshooting tenants in an OpenStack Cloud environment (network provisioning, firewalls, VM creation, application install)Hands on experience in onboarding virtual functions to a cloud environmentExtensive experience participating in agile/scrum projectsStrong Business communication, leadership and project management skills iSoftStone North America is a technology consulting firm partnering with its clients to create innovative solutions that improve business performance and provide a sustainable, competitive advantage. Backed by proven processes, innovation, and a strong track record with companies that range from emerging startups to Fortune 100 companies, iSoftStone North America navigates clients through today’s challenges while helping them build for the future. The company's employees work across offices in Seattle, Boston, New York, Toronto, and Boise. Globally, the iSoftStone network includes 22 delivery centers and over 18,000 employees. For more information on iSoftStone North America, visit www.isoftstoneinc.com. iSoftStone North America prides itself on our ability to partner with clients to deeply understand their industry dynamics and business challenges, in order to find solutions. Internally, we understand that our success is driven by our great team and work environment. We have received awards for being one of the best places to work. We're creative, energetic, and share our clients' successes. If you have a passion for delivering innovative technology solutions and want to work for a great company, get in touch. We're always looking for the next big talent. Please note: we are unable to consider third party candidates for this position.iSoftStone offers a salary commensurate with experience, an enjoyable and fun work environment, plus an extensive benefits package. iSoftStone North America is an equal opportunity employer."
54,cloud engineer,"The IT Solutions/ Cloud Architect candidate is responsible for providing architectural consulting expertise, direction, and assistance to Project Managers, Systems Analysts, Systems Engineers, and other IS personnel.   The desired candidate will have broad infrastructure expertise, software skills, a working knowledge of operations for services that are deployed in multi-site environments.  Will also possess a base understanding of healthcare secure operations and HIPAA regulations, and have a track record of architecting tranformational infrastructrure solutions. Should possess experience with performance monitoring, workload profiling, capacity management, as well as maintain in-depth knowledge of company's strategic business plans.Conducts research on emerging technologies in support of infrastructure development efforts, and recommends technologies that will increase cost effectiveness and infrastructure flexibility.Collaborates with IS managers, end users, and senior management to define business requirements for complex systems development and gain buy-in for all infrastructure plans.Reviews new and existing IT projects, systems designs, and procurement/outsourcing plans for compliance with IT standards and architectural plans."
55,software developer,"Want to be a part of smash successes in the App Store? An extremely well-funded consumer Internet startup is looking for an iOS Developer to join its rapidly growing engineering team building awesome high-performance apps on mobile! WHY THIS COULD BE THE PERFECT OPPORTUNITY FOR YOU:Build mobile applications used by millions daily! Join a company that's not only keeping up with its competitors, but also carving its own space in the media and entertainment industry. This company is committed to providing a healthier work environment, with great on-site wellness perks and your choice of alternatives to traditional desk setups. ESSENTIAL FUNCTIONS:Responsible for the full-lifecycle development of the company's next-generation of consumer-facing mobile websites, applications, and other mobile interfaces on the iOS platform Design exciting new features and functionality from scratch that elevate the consumer experience Support and enhance the existing capability of the company's iOS apps Have a voice in the technical strategy and direction of the company and its future product offeringsREQUIREMENTS:2-4 years of experience designing, developing, and testing complex apps for iOS using Objective-C (Exposure to or experience with Swift is a HUGE plus!) Ability to build and consume REST APIsMust have excellent interpersonal, communication, and leadership skills Must thrive in a fast-paced, deadline driven environmentB.S. Computer Science or related field, or equivalent experienceBONUS SKILLS AND EXPERIENCE:OO programming experience using other languages like Java, C#, or C++BENEFITS AND PERKS INCLUDE:Competitive salary coupled with performance bonus program and equity options Comprehensive health, dental, and vision benefits packageOffice wellness program includes on-site clinic services and flexible workspace optionsOther in-office amenities include salon & spa services, game lounge, and fully stocked kitchenGenerous, flexible PTO Career advancement program, including tuition reimbursement and professional development opportunities Great office location accessible by all T lines, with commuter reimbursement Travel and entertainment discounts program Corporate responsibility program, including charitable donations and community service daysCompany-sponsored happy hours, social events, and holiday parties Casual dressNOTE: All applicants must be authorized to work in the U.S.A. without sponsorship of any kind; no H1-B Visa corp-corp sponsorship or transfers offered."
56,software developer,"Software Engineer Location: Cambridge, MADuration: 6 months  Description- Cost center/Project: P0017078 - Retail Experience and Analytics Responsibilities:- Develop prototypes of innovative data products including a variety of web applications and offline analytics algorithms- Develop Work with a team scientists and data architects that develops next-gen cloud solutions that convert raw data into insights Requirements:- Masters in Computer Science or similar field with 2+ years of experience in data analytics and insight generation using statistical techniques- Demonstrated experience in- Programming: SQL, Python- Data engineering: Python, R, Java- Reporting: Power BI, Tableau, d3js- Cloud platforms: Azure, AWS- Database design and ETLs (SQL and NoSQL)"
57,software developer,"OverviewOur client has need for a Software Engineer/Architect whose primary purpose is to drive the architectural direction for a team while moving a product forward on its path from pure desktop application to a robust, hostable web-enabled incarnation.ResponsibilitiesDevelopment and technology planning and related high-level technical design (architecture)Define the technical frameworks, platforms and design patterns to be used by scrum teamsAssist scrum teams in the use of the technical frameworks, platforms and design patterns and the resolution of complex technical coding challengesEnsure appropriate technical design and code reviews are performedSupport and mentor individual developersProvide last line of defense in troubleshooting support issues and customer escalationsParticipate in the definition and documentation of development and quality standards and best practicesDrive for constantly improving the functionality, usability, reliability, performance and supportability of software productsDevelop code along with scrum teams, especially for complex features or to establish core patterns to be followed by scrum teams.Aid solutions personnel in creating functional design based on technical complexity of solutions, occasionally developing POC's to determine feasibility and complexity of technical optionsQualificationsAcademic and professional qualifications:Bachelor's Degree with a major in Computer Science, Mathematics, MIS or any related coursesExperience:Must have combined 8+ years of experience in VB/.NET (4.0 or higher), C# and SQL ServerMust have 4 years of experience designing and leading implementation of the design of software products; should have 2 years of experience as an Architect or Tech LeadMust have 2 years of experience with Agile development practices, should have experience leading such practicesMust have knowledge of industry standard technical frameworks, platforms and design patternsMust be energized by developing along with scrum teams as well as investigating new technical designsShould have experience working with customers to resolve complex issuesCould have been a change agent who has lead an important change to a software productCould have experience developing with WPF or HTML/JSCould have healthcare practice management or related industry knowledgeTravel requirements:Up to 25% (Able and willing to travel for occasional short assignments)Working arrangements:Core hours based on local time zone, but willing to be flexible in work schedule to accommodate various time zones of a global organization"
58,software developer,"About the Job:A growing startup company which offers collaborative cloud-based solutions that enables a child’s education and health team, both within and across institutions, to collaborate with each other in synergistic ways.Will work closely with the CTO, VP of Operations and IT, and play a critical role in overseeing the technical development and implementation of the company’s flagship suite of services, while maintaining the evolving platform.                                                                Responsibilities:● Design, architect and implement new software modules, features, bug fixes and enhancements as required. About You:● Local to Boston Area● Must be eligible to work in the United States; not able to provide sponsorship at this time  ● B.S. Computer Science or equivalent + 2 years  OR M.S. Computer Science or equivalent● Industry experience: Education Technology, Healthcare IT, HIPAA knowledge and/or Cyber Security  Success Factors● Strong understanding of security protocols, encryption techniques and technologies● Experience with AWS, Java, Javascript, APIs, and basic principles of user interface design● “Full-stack” engineer, being adept at the back-end and front-end aspects of designing, implementing and maintaining new software modules  "
59,software developer,"Senior Embedded Software Engineer: Watertown, MA.Skills: Opensource experience. Excellent C++ programming skills.Excellent RTOS experience Description:The Software Engineer is responsible for the development of cutting edge test and monitoring products used in the power industry. Specific tasks include:• Designing, developing, testing and documenting software components and applications in a Linux environment.• Work with hardware/electrical systems and electrical theory.• Focus on embedded real-time, multi-processor systems but comfortable with design of PC based applications.• Work with engineering project teams to provide technical solutions.• Developing technical requirements gathering, estimating, and planning efforts• Leverage internal component reusability and open source solutions to improve time to market.• Develop products to promote the ease of implementing automated test suites.• Familiar with message bus technologies and implementations.• Develop clear development metrics for testing status and progress monitoring dashboards.• Develop a skill set to be a key person to technically triage customer issues, as needed interface to the customer.• Interest in career growth, learning and professional development activities.• Interfacing with mechanical, electrical, systems, and test engineers.• Identifying and implementing process and development environment improvements.• Willingness and excited to assume increased responsibility.• Travel requirement: less than 5% EDUCATION:Bachelor’s Degree in Electrical Engineering, Computer Engineering or Computer Science. Additional equivalent experience above the required minimum may substitute for the level of education. EXPERIENCE:• 8+ years of work experience in firmware and software development.• Experience working on new projects implementing Ubuntu/ embedded linux.• Skilled in developing C / C++ applications, ideally for embedded Linux on Xilinx and TI processors.This person may have to communicate and write some code to connect the applications to the driver but they won’t actually be doing driver development.They need to understand drivers and how to connect to them. They will be writing embedded applications in an embedded Linux environment and will be connecting them both up to the GUI and down to the drivers if needed• Experience with IEEE 61850, IEEE 1588 PTP, Python, ZMQ, and Linux board support is desirable.• Solid understanding or real-rime embedded system design.• Experience using test equipment to test and verify the performance of power electronics and power system hardware.• Experience managing code management systems such as Bitbucket• Team communication and collaboration experience (Such as a wiki)• Experience working new product development with hardware teams.• Understand DSP FPGA/CPLD implementations• Ability to quickly prototype new concepts and ideas• Ability to provide creativity while solving complex problems without known solutions• Familiarity and experience working with Matlab, Linux, and scripting languages• Ability to assess new technologies via comprehensive reviews of the state-of-the-art• Skills in one or more scripting languages such as TCL, Python and Perl.• Experience with embedded and host applications developed in C, C++, C# and .NET.• Ability to express ideas clearly in written and oral communications.• Proven track record of proactively working with the development and QA stakeholders• Strong technical capabilities of a developer combined with a passion for assuring product quality. OTHER HELPFUL EDUCATION OR EXPERIENCE:• Experience Linux and Windows applications• Experience working with Atlassian Jira, Confluence and Bitbucket products• Experience or the desire to learn about utility power systems• Experience working in both waterfall and agile engineering environment.• BS in computer engineering or electrical engineering• Experience or knowledge in applied physics and electrical engineering• Knowledge of network equipment including protectors, relays, transformers and power cable.• Strong communication skills that interweave presentation skills with the problem solving process.• Strong interpersonal skill set.• Well-developed technical writing skills. "
60,software developer,"Description: Healthcare Startup Looking For implementation Engineer to implement their cutting edge product for their clients. In this role you will install the product, configure it, provide training and support. There will also be data warehousing responsibilities. The ideal candidate will have 1-3 years experience in the following areas. - SQL Programming Experience - exposure to Java - data warehousing experience - strong problem solving and analytical skills - self starter and able to work independently - Computer Science Degree please apply to cody.Carlson@rht.com cody DOT Carlson @ rht DOT com Job Requirements MS SQL Server"
61,software developer,"CenturyLink (NYSE: CTL) is a global communications, hosting, cloud and IT services company enabling millions of customers to transform their businesses and their lives through innovative technology solutions. CenturyLink offers network and data systems management, Big Data analytics and IT consulting, and operates more than 55 data centers in North America, Europe and Asia. The company provides broadband, voice, video, data and managed services over a robust 250,000-route-mile U.S. fiber network and a 300,000-route-mile international transport network. Responsibilities:   The candidate will be working within an Agile development team and will be responsible for development of routing, switching and related Operating System services. Development will combine multiple open source and third party software implementations as well as internal implementation. The candidate must have excellent problem solving and communication skills, and must be self-motivated.   Qualifications:   1. Minimum of 5 years experience with network equipment development required 2. Minimum 5 years experience with development in a Linux environment required 3. Expert C language skills required 4. Knowledge and understanding of packet forwarding technology inluding Linux kernel desirable 5. Knowledge and understanding of network concepts including IP, Ethernet required 6. Experience with NFV development desirable 7. Development experience with management protocols and models including Yang, Netconf, ReST desirable #LI-POST1 Alternate Location: US-Massachusetts-Framingham; US-Washington-Bellevue Requisition # : 119630 This job may require successful completion of an online assessment. A brief description of the assessments can be viewed on our website at http://find.centurylink.jobs/testguides/ - EEO-Statement No Discrimination. We are committed to providing equal employment opportunities to all persons regardless of race, color, ancestry, citizenship, national origin, religion, veteran status, disability, genetic characteristic or information, age, gender, sexual orientation, marital status, family status, pregnancy, or other legally protected status (collectively, -protected statuses-). We do not tolerate unlawful discrimination in any employment decisions, including recruiting, hiring, compensation, promotion, benefits, discipline, termination, job assignments or training. Any offer of employment is contingent upon the results of a pre-employment drug test and background check. Disclaimer The above job definition information has been designed to indicate the general nature and level of work performed by employees within this classification. It is not designed to contain or be interpreted as a comprehensive inventory of all duties, responsibilities, and qualifications required of employees assigned to this job.- Job duties and responsibilities are subject to change based on changing business needs and conditions.   Department: Engineering/IT Jobs"
62,software developer,"Sr. Lead Software Engineer Must have strong experience in one of the following: JavaScript, Ruby on Rails, PHP, Node JS. Strong with coding, very hands on. Will look at someone with 5-7 years with Lead experience. located on Beacon St. Job Requirements Ruby on Rails, PHP, JavaScript, Node.js"
63,software developer,"Java Senior Software Engineer is responsible for leading the small development teams in application transition, support and maintenance.Key responsibilities will include:Planning, analyzing and defining solutions to resolve incidents, providing functional and technical expertise to teamInteracting with IT and business stakeholders to provide metrics, technical guidance on enhancementsOversee the creation, execution and documentation of tests.Assisting program/project management by recommending efforts in defining characteristics, capabilities, inputs, outputs, and results necessary to describe the required functionality for the systemResponding to inquiries concerning application development and supportAssists in tracking the progress of the issues with accountability to the project manager and client management to ensure established goals are met and ensure on-time delivery.Required Skills:Possess minimum of 5 years professional experience in software developmentJava/J2EE Framework development and design experience using J2EE, JMS, JNDI, XML, XSLT, JDBC, Junit, JQuery, JavaScript, AJAXExperienced with Websphere deploymentPossess in-depth knowledge of ORM solutions and experience with Oracle, SQL / PL-SQLFamiliarity with writing stored procedures and ad hoc SQL queriesMust possess good leadership skills and have ability to lead a team of 3-5 developers "
64,software developer,"FRONT END SOFTWARE ENGINEER DETAILSTitle: Front End Software EngineerRate: $80,000 - $100,000 Base + Bonus + Full BenefitsStart Date: ASAPLocation: Boston, MAType: Full Time Direct HireMINIMUM QUALIFICATIONS: FRONT END SOFTWARE ENGINEER• Bachelor's Degree OR equivalent experience• 3+ years of application design/application development/software engineering experience (can include school work, side projects, internships, co-ops, etc.)• 2+ years front-end software engineering experience using some form of JavaScript librariesRESPONSIBILITIES: FRONT END SOFTWARE ENGINEER• Along with the Director of Software Engineering, you'll perform new development, create customizations, and maintain business critical front end web applications using Backbone, Angular, jQuery, and PhoneGap, amongst other tools.• Collaborate with technical Engineering, Operations, and Interactive staff to understand problems with software and develop specifications to resolve them. • Resolve customer complaints and respond to suggestions for product improvements and enhancements.• Engage directly with customers to build and maintain custom web applications, working independently on moderate to complex projects.• Develop and modify internal and external facing software applications.• Coordinate application development with contractors and other Ingram company developers.• Provide full application development life cycle support, including specifications, prototypes, development, quality assurance and deployment.• Communicate effectively with internal and external users as needed to support channel integration, development and support.• Provide task and project level estimates scoped by available information.• Take ownership of problems and issues and drive business toward resolution.OVERVIEW: FRONT END SOFTWARE ENGINEER• Our client developed a product designed to offer fully-integrated three-way content delivery—online, secure desktop download, or mobile—to higher education and corporate institutions around the world. Our client is the preferred and most used e-textbook platform in higher education today.• As a Front End Software Engineer (specializing in Javascript) for our client's team in Boston, MA, you would be able to enhance and build student facing e-Book solutions for some of the largest publishers and universities in the world and change the way learning is delivered in the EdTech market.PREFERRED QUALIFICATIONS: FRONT END SOFTWARE ENGINEER• Use of a variety of languages, JavaScript libraries, frameworks, and tools: jQuery, Ember, Angular, Backbone, React, Marionette, Material Design, YUI, Grunt, Gulp, Ant, NPM, Node.js, HTML, CSS, SASS, Coffeescript, ES6• iPhone or Android Apps you've shipped or are working on• Experience working in a Continuous Development or Continuous Integration environment (Jenkins)• Experience working with Ruby/Rails (if not, no biggie, but we're a robust Java and Ruby/Rails shop• Frameworks you've worked within• Database environments you've seen (We're a MySQL shop...mostly)• Ongoing or Completed UI, Interactive design, UX, or Mobile development projects• Interactive and rich interactions in browser applications you've created• The transaction rates, scale, and volume of platforms and products you have created, integrated with, and supported• Experience working with Git, Subversion or other Source Control Libraries (GitHub preferred)  CONTACT INFORMATION:Name:  Ross RawlinsEmail:  rrawlins@thorndalepartners.com"
65,software developer,"Position- Software EngineerLocation – Sudbury, MADuration - 12 monthsRequired Skills:Minimum 8 years of Professional Software development experienceAt least 5 years of C, C++, or JAVA experienceAt least 2 years of object oriented app development experienceAt least 2 years of experience with Model Driven DevelopmentAt least 2 years of UML experienceExperience with Real-time operating systems (RTOS), embedded programming, processor/board architecture and design. Knowledge of UNIX, Linux, Windows, VxWorks or other Real time operating systemsMust have an existing Secret security clearanceDesired Skills:SATCOM domain knowledgeModel Driven DevelopmentUnderstanding of standard system engineering design artifacts such as Use Cases and SysML diagramsApplied experience in Unified Modeling Language (UML) and Service Oriented Architecture (SOA) principlesExperience with Agile lifecycle process including Scrum, Continuous Integration, and Test Driven Development MethodologiesCORBADOORSInterested people may reach at emran@techgene.com OR call 972-580-0247 Ext: 203"
66,software developer,"Job DescriptionMajor purpose:Plan and perform engineering research, design and development assignments normally involving several smaller or less important projects or one major project. Estimate engineering personnel needs; schedule work to meet completion dates and technical specifications; coordinate and lead engineers and technicians assigned to projects, review progress and evaluate results. Make changes in methods, design or equipment where necessary. Generally operates with appreciable latitude for unreviewed action or decision. Must be able to perform the essential duties and responsibilities with or without reasonable accommodation. The duties and responsibilities may change from time to time without notice and include but are not limited to the duties described below.Major functions:• Plan, schedule, conduct and coordinate detailed phases of the engineering work in a part of a major project or total project of moderate scope• Study the operation of systems, select major components to meet functional and operational requirements, and determine the optimum location and arrangement from an engineering, manufacturing and/or service standpoint• Perform original highly complex analysis and design work of systems and component parts in accordance with specifications. Review and evaluate designs executed by others to satisfy product/program requirements.• Perform work that involves conventional engineering practices but may include a variety of complex features such as conflicting design requirements, unsuitability of standard materials, and difficult coordination requirements• Supervise test programs, including preparation of test specifications for prototype equipment resulting from engineering analysis or design• May provide technical direction and coordination over the work of lower level engineers• Assist in the preparation of bids and proposals as required. May assume more direct role in technical proposal writing.Technical/Functional skills:Work requires a broad knowledge of precedents in the specialty area and a good working knowledge of principles and practice of related specialties. Excellent analytical skills required. Excellent verbal, written and interpersonal communication skills are required for effective interface with all internal and external contacts. Ability to work in a fast paced environment with strong attention to detail. Demonstrated ability to deliver requirements and specifications. Data and image processing along with GUI development in a real-time embedded system required. Candidates must have direct software design and development experience in a product development environment. Must be able to meet the 10% travel requirement. The ideal candidate will have proficiency in the following areas:• C#, C++, .Net4.0, WCF and Java• Proven windows UI design skills, ideally with WPF specific experience• Proven ability to generate and trace requirements• Direct experience with source control and defect tracking tools• Experience with hardware-software interfaces is a firm requirementEducation/Experience/Licenses etc.:Bachelor’s Degree in Engineering or equivalent technical discipline. Master’s Degree preferable. Minimum ten (10) years experience in the analysis, evaluation, design and development of equipment or systems."
67,software developer,"Embedded Software Test EngineerAn experienced embedded software tester to build an automation framework for use by development and test.ResponsibilitiesDevelop, maintain and extend test automation infrastructureFor all levels of testing, including unit, integration, regression, etc.Develop, execute, manage, maintain, document test plans, strategy, design, cases, and proceduresIntegration, system, regression, etc. NOT responsible for developing unit testsExecute functional, system, regression, and performance testingDocument results and enter defects into JIRANeedGet a test framework in place for unit and integration testingBegin creating test plans, cases and scripts for integration/system/regression testing of SW and derivativesQualifications10+ years of software test of embedded systems  (manual and automated)5+ years of programming , C/C++ preferredStrong scripting skills (python, perl, shells, etc.)BS in CS, CE, EE or related experienceExperience with implementing  test frameworks (bonus points for Google Test)"
68,software developer,"Strategic Analytics firm seeks a Big Data BI software engineer to support the design and architecture of a next-generation big data analytics platform in the cloud.  ResponsibilitiesWork with data and system engineers to build a next generation big data analytics platform in the cloud – supporting overall architecture, framework and design of BI and analyticsHelp the engineering group develop technology strategies to solve complex business problems utilizing big data and other innovative tools. QualificationsMS/BS in Computer Science or related field2+ years of experience in large-scale software development with emphasis on data analytics and high volume data processing2+ years of experience architecting and building scalable data architecture2+ years’ experience hands-on experience with Hadoop and tools such as Hive, Sqoop, Pig, Impala or SparkStrong experience with SQL and relational databasesHigh proficiency with Python (including Pandas)Familiarity with cloud implementation, preferably AWSStrong communication and collaboration skills Keywords: Big data, BI, Business Intelligence, software engineer, computer science, Hadoop, Impala, Spark, Python, SQL, cloud Refer to Job #22447 – and send MS Word attached resume to Richard Exelbert, richard@analyticrecruiting.com"
69,software developer,"Overview:  Cengage is seeking Software Engineers to work in a highly collaborative, cross-functional Agile environment, this development role is responsible for building and maintaining the mobile Services Layer that puts learning directly in the hands of our students. Responsibilities:   Responsibilities:   * Work as a software engineer in a collaborative environment with passion, ownership and commitment. * Continuously learn and grow with industry-leading practices, processes, and technologies while mentoring others. Must have the following skills, abilities and knowledge:   * Directly delivering product in a software development environment (8+ years exp) * Java programming and creating Rest APIs (3+ years exp) * Experience using source code control systems, such as Git, Stash, Subversion, or CVS and build/integration tools like Jenkins. * Experience with Java, MongoDb & Tomcat * Exposure or experience deploying applications to a cloud based environment * Experience with Asynchronous networking and using REST API frameworks * Work with continuous integration frameworks such as Jenkins, intelliJ or other Java IDE * Comfortable with complex algorithms, object-oriented programming, enterprise design patterns, and mobile application performance and scalability * Experience in an Agile software development environment Nice to Haves * Participates in open source projects, and/or blogs about technology concerns. * Experience with a wide variety of software development applications, environments, and languages * Experience developing with Mobile Operating Systems (Android, Windows Phone) * Passion for working in the academic, professional or library markets Qualifications:   Qualifications:   * 3+ years working with Java and creating Rest APIs * 5+ years of direct working experience delivering product in a software development environment * Bachelor degree in Computer Science or related field, or equivalent combination of education and recent, relevant work experience *LI-TB1 *LI-RV1  Department: Information Technology"
